iso3,year,unemployment_youth
KOR,1996,5.999
KWT,1996,2.812
KGZ,1996,2.747
LAO,1996,5.22
LVA,1996,37.878
LBN,1996,20.687
LSO,1996,21.741
LBR,1996,3.19
LBY,1996,45.791
LTU,1996,29.253
LUX,1996,9.255
MAC,1996,6.767
MDG,1996,8.632
MWI,1996,6.697
MYS,1996,8.278
MDV,1996,2.378
MLI,1996,2.115
MLT,1996,11.687
MRT,1996,14.569
MUS,1996,24.18
MEX,1996,9.572
MDA,1996,14.72
MNG,1996,8.573
MNE,1996,54.705
MAR,1996,19.939
MOZ,1996,5.825
MMR,1996,1.375
NAM,1996,42.958
NPL,1996,18.989
NLD,1996,11.46
NCL,1996,45.078
NZL,1996,12.266
NIC,1996,11.195
NER,1996,3.127
NGA,1996,9.856
MKD,1996,69.897
NOR,1996,15.105
OMN,1996,13.778
PAK,1996,0.968
PAN,1996,13.76
PNG,1996,5.061
PRY,1996,16.491
PER,1996,5.998
PHL,1996,9.324
POL,1996,28.077
PRT,1996,17.049
PRI,1996,27.893
QAT,1996,2.728
ROU,1996,20.333
RUS,1996,19.32
RWA,1996,15.834
WSM,1996,7.588
STP,1996,20.935
SAU,1996,25.449
SEN,1996,2.937
SRB,1996,29.377
SLE,1996,7.635
SGP,1996,8.789
SVK,1996,21.027
SVN,1996,16.885
SLB,1996,3.288
SOM,1996,35.312
ZAF,1996,35.731
SSD,1996,18.307
ESP,1996,41.665
LKA,1996,33.196
LCA,1996,26.355
VCT,1996,38.233
SDN,1996,26.753
SUR,1996,25.022
SWE,1996,20.923
CHE,1996,4.653
SYR,1996,13.201
TJK,1996,28.425
TZA,1996,6.047
THA,1996,2.575
TLS,1996,10.078
TGO,1996,6.653
TON,1996,6.179
TTO,1996,28.301
TUN,1996,31.5
TUR,1996,13.483
TKM,1996,19.874
UGA,1996,4.893
UKR,1996,14.275
ARE,1996,4.422
GBR,1996,14.934
USA,1996,12.057
URY,1996,29.824
UZB,1996,22.407
VUT,1996,13.854
VEN,1996,19.487
VNM,1996,3.962
VIR,1996,24.384
PSE,1996,15.585
YEM,1996,17.514
ZMB,1996,27.356
ZWE,1996,13.715
AFE,1996,14.07479118
AFW,1996,8.489808785
ARB,1996,25.64636275
CSS,1996,26.435570040000002
CEB,1996,22.85636637
EAR,1996,13.26423908
EAS,1996,7.193053241
EAP,1996,7.163763037
TEA,1996,7.177811558
EMU,1996,25.33173907
ECS,1996,21.18671556
ECA,1996,18.81457588
TEC,1996,20.06773467
EUU,1996,24.36142122
FCS,1996,10.84339859
HPC,1996,8.858905528
HIC,1996,16.83925508
IBD,1996,12.55628545
IBT,1996,11.69656145
IDB,1996,7.570474681
IDX,1996,9.218912746
IDA,1996,8.679384816
LTE,1996,9.901730162
LCN,1996,15.01510317
LAC,1996,14.45717778
TLA,1996,14.92762088
LDC,1996,8.916857001
LMY,1996,11.22322535
LIC,1996,9.052459077
LMC,1996,11.37740574
MEA,1996,23.77165486
MNA,1996,24.27221121
TMN,1996,24.35679122
MIC,1996,11.40367249
NAC,1996,12.38348061
OED,1996,15.60840002
OSS,1996,22.18917903
PSS,1996,8.556289325
PST,1996,16.02810384
PRE,1996,10.33513225
SST,1996,21.14817948
SAS,1996,11.0363583
TSA,1996,11.0363583
SSF,1996,11.81414052
SSA,1996,11.81414052
TSS,1996,11.81414052
UMC,1996,11.4279933
WLD,1996,12.21824657
DZA,1997,41.748
ARG,1997,32.194
AFG,1997,10.195
ALB,1997,26.901
AGO,1997,37.029
ARM,1997,11.604
AUS,1997,15.836
AUT,1997,7.558
AZE,1997,17.05
BHS,1997,22.581
BHR,1997,3.943
BGD,1997,7.214
BRB,1997,30.139
BLR,1997,30.331
BEL,1997,21.288
BLZ,1997,25.019
BEN,1997,1.258
BTN,1997,4.364
BOL,1997,3.478
BIH,1997,44.829
BWA,1997,36.913
BRA,1997,16.568
BRN,1997,15.851
BGR,1997,27.484
BFA,1997,3.828
BDI,1997,3.88
CPV,1997,21.992
KHM,1997,0.965
CMR,1997,11.884
CAN,1997,16.27
CAF,1997,11.041
TCD,1997,1.043
CHI,1997,14.667
CHL,1997,17.545
CHN,1997,6.567
COL,1997,22.445
COM,1997,9.766
COD,1997,5.178
COG,1997,39.18
CRI,1997,11.895
CIV,1997,5.461
HRV,1997,27.894
CUB,1997,14.012
CYP,1997,6.153
CZE,1997,8.399
DNK,1997,8.098
DJI,1997,60.694
DOM,1997,12.074
ECU,1997,9.464
EGY,1997,23.891
SLV,1997,13.75
GNQ,1997,15.444
ERI,1997,9.805
EST,1997,18.554
SWZ,1997,45.789
ETH,1997,4.823
FJI,1997,10.87
FIN,1997,35.195
FRA,1997,28.622
PYF,1997,33.031
GAB,1997,38.477
GMB,1997,14.32
GEO,1997,20.184
DEU,1997,10.667
GHA,1997,11.82
GRC,1997,32.47
GUM,1997,22.501
GTM,1997,4.296
GIN,1997,5.548
GNB,1997,3.837
GUY,1997,25.433
HTI,1997,16.721
HND,1997,5.63
HKG,1997,5.183
HUN,1997,16.877
ISL,1997,7.849
IND,1997,12.708
IDN,1997,14.958
IRN,1997,19.652
IRQ,1997,15.61
IRL,1997,15.504
ISR,1997,15.016
ITA,1997,34.656
JAM,1997,16.144
JPN,1997,6.651
JOR,1997,30.326
KAZ,1997,23.122
KEN,1997,6.529
PRK,1997,6.293
KOR,1997,7.457
KWT,1997,2.687
KGZ,1997,2.89
LAO,1997,5.029
LVA,1997,27.591
LBN,1997,21.139
LSO,1997,21.899
LBR,1997,3.037
LBY,1997,46.198
LTU,1997,25.255
LUX,1997,7.288
MAC,1997,7.519
MDG,1997,8.541
MWI,1997,6.436
MYS,1997,8.187
MDV,1997,2.886
MLI,1997,2.101
MLT,1997,11.769
MRT,1997,14.609
MUS,1997,24.561
MEX,1997,7.636
MDA,1997,14.826
MNG,1997,8.724
