iso3,year,disaster_deaths_per_100k
ETH,1992,0
ETH,1993,0.003718048
ETH,1994,0.046745596
ETH,1997,0.5323885
ETH,1998,0
ETH,1999,0.07375812
ETH,2000,0.108903421
ETH,2003,0.16263752
ETH,2004,0
ETH,2005,0.2723637
ETH,2006,1.1933585
ETH,2008,0.05334465
ETH,2009,0
ETH,2010,0.021291425
ETH,2011,0
ETH,2012,0
ETH,2015,0
ETH,2016,0.12156527
ETH,2017,0
ETH,2021,0.01330196
ETH,2022,0
ETH,2023,0.11934206
ETH,1995,0.046975687
ETH,1996,0.06739946
ETH,2001,0.007244389
ETH,2002,0.030953992
ETH,2007,0.026830518
ETH,2013,0
ETH,2019,0.020154119
ETH,2020,0.029012486
